order_id,order_date,customer_id,employee_id,product_name,category,quantity,unit_price,discount_pct,payment_method,order_status,sales_channel,shipping_address,order_notes
O000001,2025-04-18 13:07:00,C00122,E0024,External Drive,Mobile Devices,8,1499,0.15,PayPal,processing,,"Unit 16, Building 14",
O000002,2022-07-01 16:37:00,C00772,E0116,Webcam,Electronics,5,499,0.05,PayPal,Returned,Store,843 Rizal St.,Urgent
O000003,2023-03-05 06:08:00,C00121,E0186,UPS,Office Furniture,1,19999,0,Debit Card, Delivered,online,388 Main St.,
O000004,2024-05-10 03:05:00,C00717,E0209,Keyboard,Mobile Devices,4,799,0.03,PayPal,Cancelled,STORE,338 Quezon St.,Gift order
O000005,2022-12-19 19:53:00,C00818,E0198,,Networking,5,2999,0.2,GCash,Pending,Online,816 Rizal St.,Gift order
O000006,2025-08-23 18:45:00,C00130,E0062,ups ,Mobile Devices,1,9999,,Debit Card,Pending,Marketplace,"Unit 6, Building 3",Urgent
O000007,2022-10-14 07:44:00,C00650,E0140,Monitor,Office Furniture,9,999,0.2,PayPal,,Online,799 MAIN ST.,
O000008,2022-06-19 22:12:00,C00767,E0248,,Computer Accessories,8,9999,0.2,Debit Card,Pending,STORE,662 mabini st.,Gift order
O000009,2023-08-12 15:33:00,C00808,E0011,Office Chair,Electronics,3,999,0.15,,cancelled ,,"Unit 12, Building 47",Gift order
O000010,2024-02-13 18:07:00,C00678,E0013,Office Chair,Computer Accessories,3,1999,0.05,Bank Transfer,Cancelled,,482 Main St.,Deliver after 5PM
O000011,2025-02-17 14:39:00,C00190,E0033,monitor,Office Furniture,10,19999,0.15,Cash,Cancelled,Marketplace,"Unit 6, Building 36",Urgent
O000012,2024-11-22 06:24:00,C00690,E0017,Keyboard,Mobile Devices,9,19999,0.03,PayPal,Returned,Marketplace,163 Main St.,
O000013,2024-12-18 13:13:00,C00299,E0243,Smartphone,Office Furniture,5,799,0.1,Debit Card,Pending,Marketplace,349 Bonifacio St.,
O000014,2022-02-17 21:05:00,C00590,E0246,Projector,Electronics,5,4999,0.15,PAYPAL,Shipped,Store," unit 2, building 44",Urgent
O000015,2023-02-24 06:13:00,C00126,E0102,Router,Computer Accessories,4,9999,0.2,cash,Pending,STORE,204 Rizal St.,Urgent
O000016,2024-04-09 20:20:00,C00627,E0195,Webcam,Office Furniture,7,499,,Cash,Cancelled,STORE,738 Bonifacio St.,
O000017,2022-03-02 18:06:00,C00251,E0177,Desk,Networking,2,9999,0,Debit Card,Cancelled ,Online,"Unit 7, Building 26",Call customer
O000018,2022-10-02 01:04:00,C00294,E0028,Webcam,Computer Accessories,2,799,0.15,Bank Transfer,Pending,online, 200 RIZAL ST. ,
O000019,2023-06-07 01:44:00,C00850,E0094,,Office Furniture,3,9999,0,Bank Transfer, returned ,Online,962 Main St.,Gift order
O000020,2025-05-29 02:52:00,C00218,E0026,Keyboard,Office Furniture,7,999,0.2,DEBIT CARD ,Pending,online,435 Bonifacio St.,Call customer
O000021,2023-08-18 23:02:00,C00799,E0050,Office Chair,Networking,,9999,0.1,GCash, Cancelled ,Marketplace,"Unit 2, Building 7",
O000022,2022-02-06 19:52:00,C00293,E0147,Keyboard,Networking,6,14999,0.05,GCash,Delivered,,"Unit 14, Building 50",
O000023,2023-08-31 17:41:00,C00803,E0094,Tablet,Mobile Devices,8,799,0.15,Debit Card,,STORE,909 Mabini St.,Urgent
O000024,2022-08-10 05:53:00,C00574,E0246,Laptop,Electronics,5,999,0.15,Bank Transfer ,Delivered,Online,658 Quezon St.,
O000025,2023-04-13 16:38:00,C00142,E0169,UPS,Electronics,10,2999,0.15,Debit Card,Shipped,,"Unit 19, Building 40",Deliver after 5PM
O000026,2022-10-29 12:37:00,C00803,E0141,Desk,Office Furniture,9,19999,0,Cash,,online,829 Quezon St.,Deliver after 5PM
O000027,2023-10-05 18:21:00,C00247,E0151,External Drive,Mobile Devices,5,1499,0.03,Cash,Processing,Store,"Unit 17, Building 28",Gift order
O000028,2022-05-09 01:07:00,C00627,E0086,Projector,ELECTRONICS,9,1499,, debit card,Pending,Store,"Unit 7, Building 38",
O000029,2022-10-22 01:46:00,C00614,E0073,Desk ,Computer Accessories,,1999,0.1,Bank Transfer, Cancelled,,894 Quezon St.,Deliver after 5PM
O000030,2025-12-03 19:04:00,C00069,E0249,Mouse,Networking,1,4999,0.05,Credit Card,Shipped,Store,"Unit 13, Building 7",
O000031,2024-08-08 00:13:00,C00225,E0193,Desk,Mobile Devices,2,,0, Debit Card,Shipped,Store,"Unit 3, Building 43",Deliver after 5PM
O000032,2022-04-11 23:10:00,C00045,E0250,PROJECTOR ,Computer Accessories,6,499,0.15,Cash, CANCELLED,,526 Rizal St.,
O000033,2022-07-08 15:57:00,C00953,E0250,Desk,Networking,9,999,0.15,PayPal,Processing,Store,896 Bonifacio St.,Call customer
O000034,2024-04-16 00:21:00,C00737,E0163,Desk,Electronics,8,499,0.15, paypal,Cancelled,Store,881 Main St.,Urgent
O000035,2022-06-22 21:53:00,C00403,E0174,Projector,Electronics,4,19999,0,GCash,Pending,online, 584 rizal st. ,Gift order
O000036,2025-05-01 01:35:00,C00803,E0140,,Computer Accessories,5,1499,0.05,Cash,Returned,,"Unit 14, Building 47",Call customer
O000037,2025-08-20 04:19:00,C00087,E0073,Office Chair,Mobile Devices,6,14999,0.2,Cash, delivered,online,,Deliver after 5PM
O000038,2024-07-14 08:24:00,C00507,E0157,Webcam,Mobile Devices,10,799,0.1,GCash,Processing,Store,"Unit 19, Building 13",
O000039,2025-08-10 17:20:00,C00244,E0095,Laptop,Electronics,1,4999,,Debit Card,Delivered,STORE,340 Quezon St.,Urgent
O000040,2023-07-27 17:11:00,C00472,E0152,Desk,Office Furniture,6,1999,0.1,GCash,Returned,Store,"Unit 19, Building 18",Urgent
O000041,2023-02-03 17:57:00,C00697,E0235,Office Chair,Networking ,2,2999,0.2,GCash ,Returned,STORE,623 Mabini St.,Gift order
O000042,2024-01-27 11:01:00,C00333,E0005,Tablet,Networking,9,1999,0.15,Debit Card,,Marketplace,644 Bonifacio St.,
O000043,2024-09-12 19:30:00,C00276,E0204, LAPTOP ,Office Furniture,4,9999,0.03,Debit Card, processing,online,"Unit 4, Building 16",Call customer
O000044,2022-04-04 00:39:00,C00795,E0091,Keyboard,Mobile Devices,2,1999,0,Cash,Cancelled,Online,"Unit 16, Building 1",Urgent
O000045,2024-11-19 16:35:00,C00829,E0234,External Drive,NETWORKING,7,999,0.15,Bank Transfer,Shipped,Store,"Unit 11, Building 33",
O000046,2023-07-27 17:40:00,C00862,E0158, Printer,Electronics,7,2999,0.2,PayPal,,Online,"Unit 2, Building 10",Urgent
O000047,2025-04-15 20:56:00,C00119,E0205,Office Chair,Electronics,4,999,,Debit Card,Pending,,649 Quezon St.,Call customer
O000048,2023-09-14 09:54:00,C00503,E0037,Headset,Computer Accessories,10,4999,0.2,PayPal,Returned,,"Unit 1, Building 9",
O000049,2025-12-12 05:58:00,C00725,E0140,External Drive,Computer Accessories,4,799,0.03,Cash,,Marketplace,640 Main St.,Deliver after 5PM
O000050,2023-05-17 13:16:00,C00786,E0121,Desk,Electronics,4,,0.03,Credit Card,Shipped,Marketplace,"Unit 18, Building 41",Gift order
O000051,2022-11-13 18:02:00,C00760,E0117,Desk,Mobile Devices,10,799,0.2,Cash,Cancelled,,451 Main St.,Urgent
O000052,2023-02-11 14:50:00,C00949,E0008, Office Chair,Mobile Devices,10,19999,,Bank Transfer,Pending,Marketplace,"Unit 3, Building 41",Deliver after 5PM
O000053,2022-10-22 07:57:00,C00209,E0082,Webcam,Office Furniture,6,1499,0.15,Bank Transfer,Delivered,online,225 Rizal St.,Deliver after 5PM
O000054,2023-11-13 08:55:00,C00619,E0212,Projector,,8,14999,0.1, GCash ,Processing,STORE,480 Bonifacio St.,
O000055,2023-11-01 04:37:00,C00996,E0026,Keyboard,Networking,4,999,,PayPal, Cancelled ,STORE,"Unit 15, Building 34",Urgent
O000056,2025-11-20 23:46:00,C00947,E0016,External Drive,Electronics,9,2999,0.1,Debit Card,Processing,,84 Bonifacio St.,Call customer
O000057,2022-11-30 06:55:00,C00798,E0238,Router,Office Furniture,2,499,0.03,Cash,Delivered,,524 Rizal St.,Deliver after 5PM
O000058,2024-05-01 15:05:00,C00050,E0163,Keyboard,Electronics,8,799,0.1,Cash,Returned,online, 478 Rizal St. ,Urgent
